nomer subyekta,shirota,dolgota
1,44.6098268,40.101
8,46.3082947,44.27
91,44.948,34.1
23,45.04,38.976
30,46.366,48.0559979
34,48.707,44.517
61,44.557,33.526
92,44.556972,33.526
5,42.9848572,47.505
6,43.1686967,44.813
7,43.4846312,43.607
9,44.2268637,42.047
15,43.0205039,44.682
20,43.19,45.42
26,45.02,41.58
2,54.734853,55.958
12,56.37,47.53
13,54.1807601,45.186
16,55.47,49.06
18,56.8527444,53.211
21,56.1439378,47.249
59,58.0103211,56.234
43,54.0790823,34.308
52,56.3242093,44.005
56,51.7875191,55.102
58,53.1753884,45.035
63,53.1951657,50.107
64,51.530376,45.953
73,54.3080674,48.375
45,55.4443448,65.316
66,56.8386326,60.605
72,57.1530824,65.534
86,61.0024344,69.018
89,66.5493568,66.608
74,55.1603659,61.401
4,51.9582681,85.96
17,51.719,94.438
19,53.722,91.444
22,51.958,85.96
24,56,92.52
38,52.286,104.281
42,55.391,86.047
54,55.028,82.921
55,54.985,73.367
70,56.485,84.948
3,51.833,107.58
14,62.028,129.733
75,52.034,113.5
41,53.01,158.39
25,43.1163807,131.882
27,48.4647991,135.06
28,50.2905935,127.527
49,59.5681763,150.809
65,46.959133,142.738
79,48.7945975,132.922
87,64.7314347,177.502
31,50.5977351,36.586
32,53.2420071,34.365
33,56.1281561,40.408
34,51.6592378,39.197
37,56.9994677,40.973
40,54.5060439,36.252
44,57.8029445,40.991
46,51.7303391,36.193
48,52.6103027,39.595
50,55.8318475,37.329
57,52.9672573,36.07
62,54.625457,39.7359992
67,54.7867168,31.815
68,52.7213021,41.452
69,56.8585396,35.912
71,54.192017,37.615
76,57.6216145,39.898
77,55.755864,37.618
10,61.78909,34.36
11,61.668789,50.836
29,64.5392985,40.517
22,67.6381525,53.007
35,59.2484186,39.836
39,54.7073218,20.507
47,59.5650861,30.128
51,69.0076958,33.069
53,58.5214003,31.276
60,57.819284,28.332
78,59.938955,30.316
1,44.6098268,40.101
8,46.3082947,44.27
91,44.9482645,38.976
23,45.040235,48.0559979
30,46.3655808,44.517
34,48.7072005,39.719
61,44.556972,34.1
92,44.556972,33.526
5,42.9848572,47.505
6,43.1686967,44.813
7,43.4846312,43.607
9,44.2268637,42.047
15,43.0205039,44.682
20,43.19,45.42
26,45.02,41.58
2,54.734853,55.958
12,56.37,47.53
13,54.1807601,45.186
16,55.47,49.06
18,56.8527444,53.211
21,56.1439378,47.249
59,58.0103211,56.234
43,54.0790823,34.308
52,56.3242093,44.005
56,51.7875191,55.102
58,53.1753884,45.035
63,53.1951657,50.107
64,51.530376,45.953
73,54.3080674,48.375
45,55.4443448,65.316
66,56.8386326,60.605
72,57.1530824,65.534
86,61.0024344,69.018
89,66.5493568,66.608
74,55.1603659,61.401
4,51.9582681,85.96
17,51.719,94.438
19,53.722,91.444
22,51.958,85.96
24,56,92.52
38,52.286,104.281
42,55.391,86.047
54,55.028,82.921
55,54.985,73.367
70,56.485,84.948
3,51.833,107.58
14,62.028,129.733
75,52.034,113.5
41,53.01,158.39
25,43.1163807,131.882
27,48.4647991,135.06
28,50.2905935,127.527
49,59.5681763,150.809
65,46.959133,142.738
79,48.7945975,132.922
87,64.7314347,177.502
31,50.5977351,36.586
32,53.2420071,34.365
33,56.1281561,40.408
34,51.6592378,39.197
37,56.9994677,40.973
40,54.5060439,36.252
44,57.8029445,40.991
46,51.7303391,36.193
48,52.6103027,39.595
50,55.8318475,37.329
57,52.9672573,36.07
62,54.625457,39.7359992
67,54.7867168,31.815
68,52.7213021,41.452
69,56.8585396,35.912
71,54.192017,37.615
76,57.6216145,39.898
77,55.755864,37.618
10,61.78909,34.36
11,61.668789,50.836
29,64.5392985,40.517
22,67.6381525,53.007
35,59.2484186,39.836
39,54.7073218,20.507
47,59.5650861,30.128
51,69.0076958,33.069
53,58.5214003,31.276
60,57.819284,28.332
78,59.938955,30.316
1,44.6098268,40.101
8,46.3082947,44.27
23,45.04,38.976
30,46.366,48.0559979
34,48.707,44.517
61,47.222,39.719
91,44.948,34.1
92,44.556972,33.526
5,42.9848572,47.505
6,43.1686967,44.813
7,43.4846312,43.607
9,44.2268637,42.047
15,43.0205039,44.682
20,43.19,45.42
26,45.02,41.58
2,54.734853,55.958
12,56.37,47.53
13,54.1807601,45.186
16,55.47,49.06
18,56.8527444,53.211
21,56.1439378,47.249
59,58.0103211,56.234
43,54.0790823,34.308
52,56.3242093,44.005
56,51.7875191,55.102
58,53.1753884,45.035
63,53.1951657,50.107
64,51.530376,45.953
73,54.3080674,48.375
45,55.4443448,65.316
66,56.8386326,60.605
72,57.1530824,65.534
86,61.0024344,69.018
89,66.5493568,66.608
74,55.1603659,61.401
4,51.9582681,85.96
17,51.7191542,107.58
19,53.7223661,94.438
22,51.9582681,91.444
24,56,83.78
38,52.2863513,113.5
42,55.3909721,92.52
54,55.0281016,104.281
55,54.9848136,86.047
70,56.4847036,82.921
3,51.8334378,73.367
14,62.0280273,84.948
75,52.0340128,129.733
41,53.01,158.39
25,43.1163807,131.882
27,48.4647991,135.06
28,50.2905935,127.527
49,59.5681763,150.809
65,46.959133,142.738
79,48.7945975,132.922
87,64.7314347,177.502
31,50.5977351,36.586
32,53.2420071,34.365
33,56.1281561,40.408
34,51.6592378,39.197
37,56.9994677,40.973
40,54.5060439,36.252
44,57.8029445,40.991
46,51.7303391,36.193
48,52.6103027,39.595
50,55.8318475,37.329
57,52.9672573,36.07
62,54.625457,39.7359992
67,54.7867168,31.815
68,52.7213021,41.452
69,56.8585396,35.912
71,54.192017,37.615
76,57.6216145,39.898
77,55.755864,37.618
10,61.78909,34.36
11,61.668789,50.836
29,64.5392985,40.517
22,67.6381525,53.007
35,59.2484186,39.836
39,54.7073218,20.507
47,59.5650861,30.128
51,69.0076958,33.069
53,58.5214003,31.276
60,57.819284,28.332
78,59.938955,30.316
1,44.6098268,40.101
8,46.3082947,44.27
91,44.948,34.1
23,45.04,38.976
30,46.366,48.0559979
34,48.707,44.517
61,44.557,33.526
92,44.556972,33.526
5,42.9848572,47.505
6,43.1686967,44.813
7,43.4846312,43.607
9,44.2268637,42.047
15,43.0205039,44.682
20,43.19,45.42
26,45.02,41.58
2,54.734853,55.958
12,56.37,47.53
13,54.1807601,45.186
16,55.47,49.06
18,56.8527444,53.211
21,56.1439378,47.249
59,58.0103211,56.234
43,54.0790823,34.308
52,56.3242093,44.005
56,51.7875191,55.102
58,53.1753884,45.035
63,53.1951657,50.107
64,51.530376,45.953
73,54.3080674,48.375
45,55.4443448,65.316
66,56.8386326,60.605
72,57.1530824,65.534
86,61.0024344,69.018
89,66.5493568,66.608
74,55.1603659,61.401
4,51.9582681,85.96
17,51.719,94.438
19,53.722,91.444
22,51.958,85.96
24,56,92.52
38,52.286,104.281
42,55.391,86.047
54,55.028,82.921
55,54.985,73.367
70,56.485,84.948
3,51.833,107.58
14,62.028,129.733
75,52.034,113.5
41,53.01,158.39
25,43.1163807,131.882
27,48.4647991,135.06
28,50.2905935,127.527
49,59.5681763,150.809
65,46.959133,142.738
79,48.7945975,132.922
87,64.7314347,177.502
